Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,16.340000,16.610001,15.900000,15.900000,15.900000,3486600
2021-10-12,15.850000,16.510000,15.710000,16.500000,16.500000,5094500
2021-10-13,16.570000,17.299999,16.290001,17.299999,17.299999,4031400
2021-10-14,17.379999,17.530001,17.070000,17.520000,17.520000,2303400
2021-10-15,17.900000,17.990000,17.330000,17.420000,17.420000,2625500
2021-10-18,17.160000,17.809999,17.120001,17.400000,17.400000,2230300
2021-10-19,17.540001,18.840000,17.270000,18.580000,18.580000,5418400
2021-10-20,18.580000,18.889999,18.260000,18.309999,18.309999,2010500
2021-10-21,18.209999,18.430000,18.020000,18.370001,18.370001,1276100
2021-10-22,18.110001,18.559999,18.100000,18.530001,18.530001,1746200
2021-10-25,18.639999,19.040001,18.480000,18.830000,18.830000,1769800
2021-10-26,19.000000,19.000000,18.540001,18.750000,18.750000,3048500
2021-10-27,18.590000,18.990000,18.160000,18.160000,18.160000,1614100
2021-10-28,18.160000,19.889999,18.160000,19.809999,19.809999,3584800
2021-10-29,19.680000,19.790001,19.049999,19.440001,19.440001,2462300
2021-11-01,19.700001,20.549999,19.700001,20.040001,20.040001,3005600
2021-11-02,20.160000,20.180000,19.379999,19.580000,19.580000,1236800
2021-11-03,19.580000,19.950001,19.410000,19.820000,19.820000,1273300
2021-11-04,20.540001,20.639999,20.020000,20.290001,20.290001,4180800
2021-11-05,21.090000,23.120001,21.090000,23.090000,23.090000,7720000
2021-11-08,24.000000,24.020000,22.770000,23.150000,23.150000,3845500
2021-11-09,23.250000,23.680000,22.340000,22.730000,22.730000,2586000
2021-11-10,22.500000,22.950001,21.980000,22.280001,22.280001,1702800
2021-11-11,22.280001,22.799999,22.160000,22.250000,22.250000,1751600
2021-11-12,22.389999,22.480000,22.100000,22.330000,22.330000,1257000
2021-11-15,23.100000,23.879999,22.680000,23.629999,23.629999,2911900
2021-11-16,23.680000,23.750000,23.090000,23.480000,23.480000,1519000
2021-11-17,23.330000,23.620001,23.010000,23.020000,23.020000,1134900
2021-11-18,23.030001,23.309999,22.420000,22.520000,22.520000,1311300
2021-11-19,22.139999,22.620001,21.879999,22.379999,22.379999,1891900
2021-11-22,22.580000,23.139999,22.469999,22.900000,22.900000,3083100
2021-11-23,22.980000,23.410000,22.680000,23.219999,23.219999,1117100
2021-11-24,23.070000,23.700001,22.820000,23.280001,23.280001,1053600
2021-11-26,22.139999,22.240000,21.480000,22.059999,22.059999,1348600
2021-11-29,22.580000,22.740000,21.709999,22.270000,22.270000,1244800
2021-11-30,22.059999,22.639999,21.260000,22.110001,22.110001,2765600
2021-12-01,22.969999,23.370001,21.580000,21.580000,21.580000,2280400
2021-12-02,21.969999,23.309999,21.420000,22.969999,22.969999,1994500
2021-12-03,23.090000,23.260000,22.120001,22.450001,22.450001,1436900
2021-12-06,22.780001,23.950001,22.299999,23.330000,23.330000,1857100
2021-12-07,23.820000,24.340000,23.580000,23.670000,23.670000,1923800
2021-12-08,23.760000,24.330000,23.440001,24.250000,24.250000,1669200
2021-12-09,24.260000,24.260000,23.719999,24.010000,24.010000,1167700
2021-12-10,24.170000,24.280001,23.740000,24.059999,24.059999,1124900
2021-12-13,24.000000,24.080000,23.230000,23.500000,23.500000,1831300
2021-12-14,24.799999,25.680000,24.160000,24.430000,24.430000,4165600
2021-12-15,24.740000,24.840000,23.520000,24.370001,24.370001,1624500
2021-12-16,24.610001,24.740000,23.620001,23.820000,23.820000,1577500
2021-12-17,23.660000,24.430000,23.270000,24.330000,24.330000,3319900
